Sample,ID,TOTAL_BASES_ bp,TOTAL_READS,GC,AT,Q20,Q30,State,City,Locality,GPS_X,GPS_Y,Region,Specie,Zootechnic_mangement,Flowering_type,Moisture,HMF,Colorimetry,Color,pH,Conductivity,Ash,Total_sugar
Melli_21,21_Melli,10.015.644.874,66.328.774,42,58,97.5,93.1,QR,Jose Maria Morelos,Santa Gertrudis,19.796.053,-88.774.822,Sureste,Melipona beecheii,Mixed honey,Multifloral ,21.9,1.6,53,Light Amber,6.175,366,0.13,468
Melli_22,22_Melli,11.666.604.884,77.262.284,41.1,58.9,97.8,93.8,QR,Jose Maria Morelos,Santa Gertrudis,19.796.053,-88.774.822,Sureste,Melipona beecheii,Jobon,Multifloral,21.5,3.4,49.5,Extra Light Amber,3.99,270.5,0.075,650
Melli_39,39_Melli,11.714.918.240,77.582.240,42.4,57.6,97.8,93.7,QR,Jose Maria Morelos,Santa Gertrudis,19.796.053,-88.774.822,Sureste,Melipona beecheii,Beehive box,Multifloral,23,1.7,38,Extra Light Amber,4.58,146.9,0.004,642
Melli_40,40_Melli ,11.132.990.816,73.728.416,39.8,60.2,97.7,93.5,QR,Jose Maria Morelos,Jose Maria Morelos,19.748.972,-88.700.889,Sureste,Melipona beecheii,Beehive box,Multifloral,25,4,69,Light Amber,3.98,246,0.061,543
Melli_41,41_Melli,10.049.399.414,66.552.314,38.9,61.1,97.4,93,QR,Jose Maria Morelos,Jose Maria Morelos,19.748.972,-88.700.889,Sureste,Melipona beecheii,Mixed honey,Multifloral ,23,3.5,43.5,Extra Light Amber,4.78,201,0.035,449
Melli_42,42_Melli,10.635.306.292,70.432.492,40.5,59.5,96.7,91.5,QR,Jose Maria Morelos,Jose Maria Morelos,19.748.972,-88.700.889,Sureste,Melipona beecheii,Jobon,Multifloral,21.9,1,46.5,Extra Light Amber,4.23,507,0.211,454
Melli_45,45_Melli,10.778.553.348,71.381.148,40.8,59.2,97.9,93.9,Yuc,Mani,Mani,20.385.292,-89.393.053,Sureste,Melipona beecheii,Beehive box,Multifloral ,24.5,1,44,Extra Light Amber,3.99,372.5,0.134,624
Melli_46,46_Melli,10.278.059.016,68.066.616,41.6,58.4,98.2,94.5,Yuc,Mani,Mani,20.385.292,-89.393.053,Sureste,Melipona beecheii,Jobon,Multiflora,22,1,46,Extra Light Amber,4.57,576.5,0.251,470
Melli_47,47_Melli,10.512.334.912,69.618.112,40.5,59.5,97.7,93.5,Yuc,Mani,Mani,20.385.292,-89.393.053,Sureste,Melipona beecheii,Mixed honey,Multiflora,21.9,1,43,Extra Light Amber,5.59,372.5,0.134,NA
Scapto_23,23_Scapto,10.584.257.118,70.094.418,33.2,66.8,97.8,93.6,Ver,Atzalan,Aguateno,19.901.583,-97.144.056,Golfo,Scaptotrigona mexicana,Beehive box,Multifloral,25,1,38,Extra Light Amber,3.75,404,0.152,417
Scapto_43,43_Scapto,11.382.852.026,75.383.126,33.3,66.7,97.9,93.8,Ver,Atzalan,Aguateno,19.901.583,-97.144.056,Golfo,Scaptotrigona mexicana,Cantaro,Multifloral,25.5,7.1,79,Light Amber,3.955,463,0.186,389
Scapto_51,51_Scapto,11.670.950.362,77.291.062,34.1,65.9,98.1,94,Ver,Atzalan,Aguateno,19.901.583,-97.144.056,Golfo,Scaptotrigona mexicana,Mixed honey,Multifloral,24,1.9,46.5,Extra Light Amber,3.565,360.5,0.127,444
Scapto_89,89_Scapto,10.795.256.666,71.491.766,33.9,66.1,96.9,91.3,Ver,Papantla,La Isla,20.362.611,-97.242.417,Golfo,Scaptotrigona mexicana,Cantaro,Multifloral,22.5,2,47,Extra Light Amber,4.005,444.5,0.175,360
Scapto_90,90_Scapto,11.146.031.478,73.814.778,34.4,65.6,97.7,93.3,Ver,Papantla,La Isla,20.362.611,-97.242.417,Golfo,Scaptotrigona mexicana,Mixed honey,Multifloral,23.5,0,51.5,Light Amber,4.295,789,0.373,NA
Scapto_91,91_Scapto,11.330.001.422,75.033.122,33.9,66.1,97.8,93.7,Ver,Papantla,La Isla,20.362.611,-97.242.417,Golfo,Scaptotrigona mexicana,Beehive box,Multifloral,23.6,1,20,White,4.045,246.5,0.061,344
Scapto_92,92_Scapto,11.330.001.422,75.033.122,33.9,66.1,97.8,93.7,Ver,Tenochtitlan,El colorado,19.838.639,-96.936.694,Golfo,Scaptotrigona mexicana,Beehive box,Multifloral,30.5,1,43.5,Extra Light Amber,3.64,174.3,0.02,304
Scapto_93,93_Scapto,10.009.738.056,66.289.656,37.4,62.6,96.9,91.4,Ver,Tenochtitlan,El colorado,19.838.639,-96.936.694,Golfo,Scaptotrigona mexicana,Mixed honey,Multifloral,26.4,1,43.5,Extra Light Amber,3.81,216.5,0.044,348
