archivo,total_lecturas,lecturas_mapeadas,porcentaje_mapeo,properly_paired,singletons
10_S132_vs_A_apinorum_strainFhon13.bam,824524,824120,99.95,823778,340
10_S132_vs_A_jinshanensis_brasiliensis.bam,824524,434292,52.67,51106,383184
10_S132_vs_A_jinshanensis_strainHSLZ75.bam,824524,411816,49.95,6328,405486
10_S132_vs_A_jinshanensis_subsaerogenes.bam,824524,411816,49.95,6328,405486
10_S132_vs_A_kunkeei_DSM12361.bam,824524,741230,89.90,658120,83108
10_S132_vs_A_micheneri_strainHlig3.bam,824524,823394,99.86,822340,1054
10_S132_vs_A_micheneri_strainNBRC113063.bam,824524,823392,99.86,822336,1056
10_S132_vs_A_ozensis_DSM23829.bam,824524,824313,99.97,824160,151
10_S132_vs_A_quenuiae_strainHV6.bam,824524,824027,99.94,823670,355
10_S132_vs_A_timberlakei_strainHV12.bam,824524,824125,99.95,823790,333
10_S132_vs_F_florum_DSM22689.bam,824524,824326,99.98,824184,140
10_S132_vs_F_fructivorans_strainDSM20203.bam,824524,824297,99.97,824164,131
10_S132_vs_F_lindneri_strainDSM20690.bam,824524,824349,99.98,824230,117
10_S132_vs_F_sanfranciscensis_DSM20451.bam,824524,0,0.00,0,0
10_S132_vs_L_Lactobacillus_spSy1.bam,824524,824376,99.98,824282,92
10_S132_vs_L_senioris_DSM24302.bam,824524,823010,99.82,821556,1452
10_S132_vs_Melli_22_029.bam,824524,0,0.00,0,0
10_S132_vs_Melli_40_029.bam,824524,0,0.00,0,0
10_S132_vs_Melli_41_001.bam,824524,824390,99.98,824300,88
10_S132_vs_Melli_42_004.bam,824524,0,0.00,0,0
10_S132_vs_Melli_45_016.bam,824524,824390,99.98,824300,88
10_S132_vs_Melli_45_020.bam,824524,0,0.00,0,0
10_S132_vs_Melli_46_022.bam,824524,0,0.00,0,0
10_S132_vs_Melli_47_001.bam,824524,824387,99.98,824296,89
10_S132_vs_Scapto_23_001.bam,824524,0,0.00,0,0
10_S132_vs_Scapto_51_004.bam,824524,0,0.00,0,0
10_S132_vs_Scapto_89_001.bam,824524,0,0.00,0,0
10_S132_vs_Scapto_89_002.bam,824524,824381,99.98,824288,91
10_S132_vs_Scapto_90_012.bam,824524,59,0.01,0,59
10_S132_vs_Scapto_92_002.bam,824524,820865,99.56,820750,113
10_S132_vs_Scapto_92_009.bam,824524,0,0.00,0,0
12_S134_vs_A_apinorum_strainFhon13.bam,839926,839446,99.94,839090,356
12_S134_vs_A_jinshanensis_brasiliensis.bam,839926,442647,52.70,54272,388375
12_S134_vs_A_jinshanensis_strainHSLZ75.bam,839926,419014,49.89,7186,411828
12_S134_vs_A_jinshanensis_subsaerogenes.bam,839926,419013,49.89,7184,411829
12_S134_vs_A_kunkeei_DSM12361.bam,839926,731489,87.09,623588,107901
12_S134_vs_A_micheneri_strainHlig3.bam,839926,833987,99.29,828194,5793
12_S134_vs_A_micheneri_strainNBRC113063.bam,839926,833983,99.29,828188,5795
12_S134_vs_A_ozensis_DSM23829.bam,839926,839648,99.97,839490,158
12_S134_vs_A_quenuiae_strainHV6.bam,839926,838828,99.87,837932,896
12_S134_vs_A_timberlakei_strainHV12.bam,839926,834842,99.39,829892,4950
12_S134_vs_F_florum_DSM22689.bam,839926,839692,99.97,839570,122
12_S134_vs_F_fructivorans_strainDSM20203.bam,839926,839367,99.93,839258,109
12_S134_vs_F_lindneri_strainDSM20690.bam,839926,839736,99.98,839654,82
12_S134_vs_F_sanfranciscensis_DSM20451.bam,839926,0,0.00,0,0
12_S134_vs_L_Lactobacillus_spSy1.bam,839926,839756,99.98,839680,76
12_S134_vs_L_senioris_DSM24302.bam,839926,838362,99.81,836920,1442
12_S134_vs_Melli_22_029.bam,839926,0,0.00,0,0
12_S134_vs_Melli_40_029.bam,839926,0,0.00,0,0
12_S134_vs_Melli_41_001.bam,839926,839767,99.98,839696,71
12_S134_vs_Melli_42_004.bam,839926,0,0.00,0,0
12_S134_vs_Melli_45_016.bam,839926,839770,99.98,839698,72
12_S134_vs_Melli_45_020.bam,839926,0,0.00,0,0
12_S134_vs_Melli_46_022.bam,839926,0,0.00,0,0
12_S134_vs_Melli_47_001.bam,839926,839765,99.98,839694,71
12_S134_vs_Scapto_23_001.bam,839926,0,0.00,0,0
12_S134_vs_Scapto_51_004.bam,839926,0,0.00,0,0
12_S134_vs_Scapto_89_001.bam,839926,0,0.00,0,0
12_S134_vs_Scapto_89_002.bam,839926,839756,99.98,839680,76
12_S134_vs_Scapto_90_012.bam,839926,85,0.01,0,85
12_S134_vs_Scapto_92_002.bam,839926,836322,99.57,836230,92
12_S134_vs_Scapto_92_009.bam,839926,0,0.00,0,0
14_S136_vs_A_apinorum_strainFhon13.bam,964320,961476,99.71,960728,744
14_S136_vs_A_jinshanensis_brasiliensis.bam,964320,510633,52.95,66560,444071
14_S136_vs_A_jinshanensis_strainHSLZ75.bam,964320,482905,50.08,11318,471585
14_S136_vs_A_jinshanensis_subsaerogenes.bam,964320,482905,50.08,11318,471585
14_S136_vs_A_kunkeei_DSM12361.bam,964320,838695,86.97,715468,123223
14_S136_vs_A_micheneri_strainHlig3.bam,964320,960499,99.60,958862,1635
14_S136_vs_A_micheneri_strainNBRC113063.bam,964320,960498,99.60,958860,1636
14_S136_vs_A_ozensis_DSM23829.bam,964320,961989,99.76,961716,271
14_S136_vs_A_quenuiae_strainHV6.bam,964320,961121,99.67,960210,899
14_S136_vs_A_timberlakei_strainHV12.bam,964320,961594,99.72,961022,568
14_S136_vs_F_florum_DSM22689.bam,964320,961976,99.76,961764,210
14_S136_vs_F_fructivorans_strainDSM20203.bam,964320,962155,99.78,961852,299
14_S136_vs_F_lindneri_strainDSM20690.bam,964320,962009,99.76,961824,181
14_S136_vs_F_sanfranciscensis_DSM20451.bam,964320,0,0.00,0,0
14_S136_vs_L_Lactobacillus_spSy1.bam,964320,962158,99.78,961948,206
14_S136_vs_L_senioris_DSM24302.bam,964320,960806,99.64,959200,1602
14_S136_vs_Melli_22_029.bam,964320,0,0.00,0,0
14_S136_vs_Melli_40_029.bam,964320,0,0.00,0,0
14_S136_vs_Melli_41_001.bam,964320,962200,99.78,961970,226
14_S136_vs_Melli_42_004.bam,964320,0,0.00,0,0
14_S136_vs_Melli_45_016.bam,964320,962218,99.78,961972,242
14_S136_vs_Melli_45_020.bam,964320,0,0.00,0,0
14_S136_vs_Melli_46_022.bam,964320,0,0.00,0,0
14_S136_vs_Melli_47_001.bam,964320,962143,99.77,961954,185
14_S136_vs_Scapto_23_001.bam,964320,0,0.00,0,0
14_S136_vs_Scapto_51_004.bam,964320,0,0.00,0,0
14_S136_vs_Scapto_89_001.bam,964320,0,0.00,0,0
14_S136_vs_Scapto_89_002.bam,964320,962073,99.77,961912,157
14_S136_vs_Scapto_90_012.bam,964320,80,0.01,0,80
14_S136_vs_Scapto_92_002.bam,964320,958160,99.36,957882,274
14_S136_vs_Scapto_92_009.bam,964320,0,0.00,0,0
15_S137_vs_A_apinorum_strainFhon13.bam,856874,813491,94.94,812856,631
15_S137_vs_A_jinshanensis_brasiliensis.bam,856874,434219,50.67,60750,373465
15_S137_vs_A_jinshanensis_strainHSLZ75.bam,856874,407370,47.54,7742,399624
15_S137_vs_A_jinshanensis_subsaerogenes.bam,856874,407370,47.54,7742,399624
15_S137_vs_A_kunkeei_DSM12361.bam,856874,743940,86.82,673878,70058
15_S137_vs_A_micheneri_strainHlig3.bam,856874,812711,94.85,811314,1393
15_S137_vs_A_micheneri_strainNBRC113063.bam,856874,812706,94.85,811304,1398
15_S137_vs_A_ozensis_DSM23829.bam,856874,813785,94.97,813426,355
15_S137_vs_A_quenuiae_strainHV6.bam,856874,813422,94.93,812816,602
15_S137_vs_A_timberlakei_strainHV12.bam,856874,813530,94.94,812944,582
15_S137_vs_F_florum_DSM22689.bam,856874,813857,94.98,813452,401
15_S137_vs_F_fructivorans_strainDSM20203.bam,856874,813880,94.98,813440,436
15_S137_vs_F_lindneri_strainDSM20690.bam,856874,813872,94.98,813498,370
15_S137_vs_F_sanfranciscensis_DSM20451.bam,856874,0,0.00,0,0
15_S137_vs_L_Lactobacillus_spSy1.bam,856874,813954,94.99,813548,402
15_S137_vs_L_senioris_DSM24302.bam,856874,812547,94.83,810848,1695
15_S137_vs_Melli_22_029.bam,856874,0,0.00,0,0
15_S137_vs_Melli_40_029.bam,856874,0,0.00,0,0
15_S137_vs_Melli_41_001.bam,856874,813994,95.00,813564,426
15_S137_vs_Melli_42_004.bam,856874,0,0.00,0,0
15_S137_vs_Melli_45_016.bam,856874,813995,95.00,813564,427
15_S137_vs_Melli_45_020.bam,856874,0,0.00,0,0
15_S137_vs_Melli_46_022.bam,856874,0,0.00,0,0
15_S137_vs_Melli_47_001.bam,856874,813978,94.99,813562,412
15_S137_vs_Scapto_23_001.bam,856874,0,0.00,0,0
15_S137_vs_Scapto_51_004.bam,856874,0,0.00,0,0
15_S137_vs_Scapto_89_001.bam,856874,0,0.00,0,0
15_S137_vs_Scapto_89_002.bam,856874,813937,94.99,813540,393
15_S137_vs_Scapto_90_012.bam,856874,102,0.01,0,102
15_S137_vs_Scapto_92_002.bam,856874,810467,94.58,810090,373
15_S137_vs_Scapto_92_009.bam,856874,0,0.00,0,0
16_S138_vs_A_apinorum_strainFhon13.bam,1494204,265931,17.80,117960,147969
16_S138_vs_A_jinshanensis_brasiliensis.bam,1494204,78619,5.26,5222,73395
16_S138_vs_A_jinshanensis_strainHSLZ75.bam,1494204,60513,4.05,726,59785
16_S138_vs_A_jinshanensis_subsaerogenes.bam,1494204,60512,4.05,726,59784
16_S138_vs_A_kunkeei_DSM12361.bam,1494204,397034,26.57,170036,226996
16_S138_vs_A_micheneri_strainHlig3.bam,1494204,120243,8.05,80068,40175
16_S138_vs_A_micheneri_strainNBRC113063.bam,1494204,120242,8.05,80066,40176
16_S138_vs_A_ozensis_DSM23829.bam,1494204,184168,12.33,121404,62762
16_S138_vs_A_quenuiae_strainHV6.bam,1494204,112316,7.52,82134,29932
16_S138_vs_A_timberlakei_strainHV12.bam,1494204,114177,7.64,82192,31983
16_S138_vs_F_florum_DSM22689.bam,1494204,147327,9.86,120624,26701
16_S138_vs_F_fructivorans_strainDSM20203.bam,1494204,724926,48.52,127012,597910
16_S138_vs_F_lindneri_strainDSM20690.bam,1494204,147486,9.87,118050,29434
16_S138_vs_F_sanfranciscensis_DSM20451.bam,1494204,0,0.00,0,0
16_S138_vs_L_Lactobacillus_spSy1.bam,1494204,581728,38.93,126726,455000
16_S138_vs_L_senioris_DSM24302.bam,1494204,538433,36.03,119470,418961
16_S138_vs_Melli_22_029.bam,1494204,0,0.00,0,0
16_S138_vs_Melli_40_029.bam,1494204,0,0.00,0,0
16_S138_vs_Melli_41_001.bam,1494204,617535,41.33,135890,481641
16_S138_vs_Melli_42_004.bam,1494204,0,0.00,0,0
16_S138_vs_Melli_45_016.bam,1494204,755243,50.54,137316,617923
16_S138_vs_Melli_45_020.bam,1494204,0,0.00,0,0
16_S138_vs_Melli_46_022.bam,1494204,0,0.00,0,0
16_S138_vs_Melli_47_001.bam,1494204,604373,40.45,135012,469359
16_S138_vs_Scapto_23_001.bam,1494204,0,0.00,0,0
16_S138_vs_Scapto_51_004.bam,1494204,0,0.00,0,0
16_S138_vs_Scapto_89_001.bam,1494204,0,0.00,0,0
16_S138_vs_Scapto_89_002.bam,1494204,458394,30.68,118920,339472
16_S138_vs_Scapto_90_012.bam,1494204,8,0.00,0,8
16_S138_vs_Scapto_92_002.bam,1494204,736659,49.30,125282,611375
16_S138_vs_Scapto_92_009.bam,1494204,0,0.00,0,0
4_S127_vs_A_apinorum_strainFhon13.bam,1407834,1406996,99.94,1406534,438
4_S127_vs_A_jinshanensis_brasiliensis.bam,1407834,752221,53.43,108506,643691
4_S127_vs_A_jinshanensis_strainHSLZ75.bam,1407834,705621,50.12,15684,689913
4_S127_vs_A_jinshanensis_subsaerogenes.bam,1407834,705621,50.12,15684,689913
4_S127_vs_A_kunkeei_DSM12361.bam,1407834,1289223,91.57,1171224,117975
4_S127_vs_A_micheneri_strainHlig3.bam,1407834,1405385,99.83,1403400,1969
4_S127_vs_A_micheneri_strainNBRC113063.bam,1407834,1405381,99.83,1403392,1973
4_S127_vs_A_ozensis_DSM23829.bam,1407834,1407320,99.96,1407152,144
4_S127_vs_A_quenuiae_strainHV6.bam,1407834,1406816,99.93,1406280,512
4_S127_vs_A_timberlakei_strainHV12.bam,1407834,1407016,99.94,1406568,424
4_S127_vs_F_florum_DSM22689.bam,1407834,1407329,99.96,1407164,141
4_S127_vs_F_fructivorans_strainDSM20203.bam,1407834,1407438,99.97,1407276,120
4_S127_vs_F_lindneri_strainDSM20690.bam,1407834,1407369,99.97,1407238,107
4_S127_vs_F_sanfranciscensis_DSM20451.bam,1407834,0,0.00,0,0
4_S127_vs_L_Lactobacillus_spSy1.bam,1407834,1407580,99.98,1407466,76
4_S127_vs_L_senioris_DSM24302.bam,1407834,1405490,99.83,1403308,2140
4_S127_vs_Melli_22_029.bam,1407834,0,0.00,0,0
4_S127_vs_Melli_40_029.bam,1407834,0,0.00,0,0
4_S127_vs_Melli_41_001.bam,1407834,1407595,99.98,1407466,77
4_S127_vs_Melli_42_004.bam,1407834,0,0.00,0,0
4_S127_vs_Melli_45_016.bam,1407834,1407595,99.98,1407476,77
4_S127_vs_Melli_45_020.bam,1407834,0,0.00,0,0
4_S127_vs_Melli_46_022.bam,1407834,0,0.00,0,0
4_S127_vs_Melli_47_001.bam,1407834,1407594,99.98,1407470,78
4_S127_vs_Scapto_23_001.bam,1407834,0,0.00,0,0
4_S127_vs_Scapto_51_004.bam,1407834,0,0.00,0,0
4_S127_vs_Scapto_89_001.bam,1407834,0,0.00,0,0
4_S127_vs_Scapto_89_002.bam,1407834,1407571,99.98,1407430,89
4_S127_vs_Scapto_90_012.bam,1407834,144,0.01,0,144
4_S127_vs_Scapto_92_002.bam,1407834,1401740,99.57,1401594,110
4_S127_vs_Scapto_92_009.bam,1407834,0,0.00,0,0
