,22_Melli.029,45_Melli.020,47_Melli.001,41_Melli.001,45_Melli.016,40_Melli.029,23_Scapto.001,89_Scapto.001,92_Scapto.002,42_Melli.004,89_Scapto.002,51_Scapto.004,92_Scapto.009,90_Scapto.012,46_Melli.022,Acetilactobacillus_jinshanensis_aerogenes_strain_Sichuan_bran_vinegar,Acetilactobacillus_jinshanensis_strain_HSLZ-75,Acetilactobacillus_jinshanensis_brasiliensis,Apilactobacillus_kunkeei
22_Melli.029,100.0,99.6481,99.5591,99.5239,83.9721,77.3825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45_Melli.020,99.621,100.0,99.5096,99.1929,0.0,86.3869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8137,0.0,0.0,0.0,0
47_Melli.001,99.7002,99.2304,100.0,99.655,84.0115,77.3881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41_Melli.001,99.7242,98.9508,99.527,100.0,83.6432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45_Melli.016,84.4138,78.5453,84.5719,83.8385,100.0,98.4925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7713,0.0,0.0,0.0,0
40_Melli.029,77.9202,87.0657,0.0,0.0,98.9628,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1591,0.0,0.0,0.0,0
23_Scapto.001,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.6526,99.4235,99.0601,83.1387,80.8588,80.8183,80.7208,0.0,0.0,0.0,0.0,0
89_Scapto.001,0.0,0.0,0.0,0.0,0.0,0.0,99.6266,100.0,99.3274,98.7093,80.3805,80.456,80.4065,80.2349,0.0,0.0,0.0,0.0,0
92_Scapto.002,0.0,0.0,0.0,0.0,0.0,0.0,99.335,99.364,100.0,98.7546,82.3674,80.4282,80.1665,80.4249,0.0,0.0,0.0,0.0,0
42_Melli.004,0.0,0.0,0.0,0.0,0.0,0.0,98.9339,98.732,98.6076,100.0,83.8517,80.7998,80.5959,80.6211,0.0,0.0,0.0,0.0,0
89_Scapto.002,0.0,0.0,0.0,0.0,0.0,0.0,83.0707,81.0428,83.1227,83.6506,100.0,99.4169,99.2013,99.2224,0.0,0.0,0.0,0.0,0
51_Scapto.004,0.0,0.0,0.0,0.0,0.0,0.0,80.7996,80.5711,80.6045,80.7728,99.5737,100.0,99.4324,99.5906,0.0,0.0,0.0,0.0,0
92_Scapto.009,0.0,0.0,0.0,0.0,0.0,0.0,80.7872,80.6801,80.5406,80.5515,99.2263,99.5317,100.0,98.084,0.0,0.0,0.0,0.0,0
90_Scapto.012,0.0,0.0,0.0,0.0,0.0,0.0,80.7873,80.4365,80.5887,80.5694,98.9904,99.5192,98.0503,100.0,0.0,0.0,0.0,0.0,0
46_Melli.022,0.0,80.178,0.0,0.0,85.8873,84.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9791,0.0,0.0,0.0,0
Acetilactobacillus_jinshanensis_aerogenes_strain_Sichuan_bran_vinegar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.9524,80.9069,0
Acetilactobacillus_jinshanensis_strain_HSLZ-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9666,100.0,81.0659,0
Acetilactobacillus_jinshanensis_brasiliensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3341,81.4225,100.0,0
Apilactobacillus_kunkeei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
