id,isolation source,,bees,honey,flower,food
A_apinorum_strainFhon13,honey stomach of the honeybee,honey,yes,yes,no,honey
A_jinshanensis_brasiliensis,honey,honey,,,,
A_jinshanensis_strainHSLZ75,grain vinegar mash,vinegar,no,no,no,vinegar
A_jinshanensis_subsaerogenes,vinegar,vinegar,,,,
A_kunkeei_DSM12361, sluggish grape wine fermentation,fermented bevarage,,,,
A_micheneri_strainHlig3,bees and flowers,bees,,,,
A_micheneri_strainNBRC113063,"koso, a Japanese sugar-vegetable fermented beverage",fermented bevarage,,,,
A_ozensis_DSM23829,chrysanthemum flower,flower,,,,
A_quenuiae_strainHV6,wild bees and from flowers,bees,,,,
A_timberlakei_strainHV12,"wild bees, and from flowers",bees,,,,
F_florum_DSM22689," peony and bietou flowers, and from grapes and wine",flower,,,,
F_fructivorans_strainDSM20203,"spoiled mayonnaise, salad dressings, sourdough, dessert wines and aperitifs",,,,,
F_lindneri_strainDSM20690,spoiled beer and from wine,,,,,
F_sanfranciscensis_DSM20451,agave mash,,,,,
L_Lactobacillus_spSy1,honey,honey,,,,
L_senioris_DSM24302,human faeces,human faeces,,,,
Melli_22_029,M. beecheii,,,,,
Melli_40_029,M. beecheii,,,,,
Melli_41_001,M. beecheii,,,,,
Melli_42_004,M. beecheii,,,,,
Melli_45_016,M. beecheii,,,,,
Melli_45_020,M. beecheii,,,,,
Melli_46_022,M. beecheii,,,,,
Melli_47_001,M. beecheii,,,,,
Scapto_23_001,S. mexicana,,,,,
Scapto_51_004,S. mexicana,,,,,
Scapto_89_001,S. mexicana,,,,,
Scapto_89_002,S. mexicana,,,,,
Scapto_90_012,S. mexicana,,,,,
Scapto_92_002,S. mexicana,,,,,
Scapto_92_009,S. mexicana,,,,,
