"","user_genome","Completeness","Contamination","Strain heterogeneity","Genome size (bp)","# contigs","N50 (contigs)","classification","closest_placement_reference","closest_placement_taxonomy","closest_placement_radius","closest_placement_ani"
"1","22_Melli.029",98.28,8.23,0,1974964,184,68817,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","77.49"
"2","22_Melli.031",99.69,11.99,64.71,3689004,1147,5762,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rosenbergiella;s__","N/A","N/A","N/A","N/A"
"3","39_Melli.018",99.69,4.36,92.31,3242123,266,114578,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rosenbergiella;s__","N/A","N/A","N/A","N/A"
"4","40_Melli.029",91.35,8.62,16.67,1777581,361,9718,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","75.81"
"5","41_Melli.001",91.38,3.45,0,1423883,93,37829,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","79.07"
"6","42_Melli.004",93.1,12.93,0,1795647,140,32739,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","78.34"
"7","45_Melli.016",91.38,5.33,0,1792603,91,40574,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","77.1"
"8","45_Melli.020",94.83,10.34,12.5,1929931,73,89830,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","75.98"
"9","46_Melli.006",98.28,2.04,0,1632422,49,125683,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__","GCF_001038455.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__Fructobacillus sp001038455","95.0","92.55"
"10","46_Melli.018",100,12.38,9.09,3249540,713,48974,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__","N/A","N/A","N/A","N/A"
"11","46_Melli.021",100,0,0,2299108,27,189756,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Bombella;s__","N/A","N/A","N/A","N/A"
"12","46_Melli.022",95.98,13.89,68.75,3973983,732,15969,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","76.82"
"13","46_Melli.038",91.38,11.76,6.06,5673916,2644,2283,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea stewartii","GCF_008801695.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea stewartii","95.0","98.07"
"14","47_Melli.001",97.41,4.31,66.67,2082406,137,28492,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","77.02"
"15","23_Scapto.001",91.38,1.72,0,1057271,49,29333,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__","GCF_004359375.1","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__Acetilactobacillus jinshanensis","95.0","76.53"
