genome1,genome2,coreAA_identity_pct,compared_positions
A_23_Scapto_001_v2,A_42_Melli_004_v2,99.6754,38505
A_23_Scapto_001_v2,A_51_Scapto_004_v2,85.1054,38336
A_23_Scapto_001_v2,A_89_Scapto_001_v2,99.8884,38528
A_23_Scapto_001_v2,A_89_Scapto_002_v2,85.108,38336
A_23_Scapto_001_v2,A_90_Scapto_012_v2,85.1028,38336
A_23_Scapto_001_v2,A_92_Scapto_002_v2,99.8599,38536
A_23_Scapto_001_v2,A_92_Scapto_009_v2,85.099,38286
A_23_Scapto_001_v2,A_apinorum_strainFhon13,69.8092,38101
A_23_Scapto_001_v2,A_jinshanensis_brasiliensis,69.8087,37269
A_23_Scapto_001_v2,A_jinshanensis_strainHSLZ75,69.1,38165
A_23_Scapto_001_v2,A_jinshanensis_subsaerogenes,69.0842,38165
A_23_Scapto_001_v2,A_kunkeei_DSM12361,70.275,38143
A_23_Scapto_001_v2,A_micheneri_strainHlig3,71.1698,37981
A_23_Scapto_001_v2,A_micheneri_strainNBRC113063,71.1339,38197
A_23_Scapto_001_v2,A_ozensis_DSM23829,70.8855,38194
A_23_Scapto_001_v2,A_quenuiae_strainHV6,70.9918,38134
A_23_Scapto_001_v2,A_timberlakei_strainHV12,71.0722,38164
A_23_Scapto_001_v2,F_florum_DSM22689,63.8363,38157
A_23_Scapto_001_v2,F_fructivorans_strainDSM20203,67.8637,38206
A_23_Scapto_001_v2,F_lindneri_strainDSM20690,66.2191,38128
A_23_Scapto_001_v2,F_sanfranciscensis_DSM20451,65.6253,38060
A_23_Scapto_001_v2,L_Lactobacillus_spSy1,71.3918,38115
A_23_Scapto_001_v2,L_senioris_DSM24302,67.6653,38151
A_23_Scapto_001_v2,N_22_Melli_029_v2,71.7123,38112
A_23_Scapto_001_v2,N_40_Melli_029_v2,71.1093,37943
A_23_Scapto_001_v2,N_41_Melli_001_v2,71.7234,38081
A_23_Scapto_001_v2,N_45_Melli_016_v2,71.0656,38221
A_23_Scapto_001_v2,N_45_Melli_020_v2,71.6972,38074
A_23_Scapto_001_v2,N_46_Melli_022_v2,71.0683,38221
A_23_Scapto_001_v2,N_47_Melli_001_v2,71.7134,38064
A_23_Scapto_001_v2,N_barcode03,71.6755,38126
A_23_Scapto_001_v2,N_barcode04,71.6594,38069
A_23_Scapto_001_v2,N_barcode20,71.3505,37718
A_23_Scapto_001_v2,Nicoliella_lavandulae_Es01,71.6034,38244
A_23_Scapto_001_v2,Nicoliella_spurrieriana_SGEP1_A5,71.4789,38035
A_42_Melli_004_v2,A_51_Scapto_004_v2,85.1189,38364
A_42_Melli_004_v2,A_89_Scapto_001_v2,99.6857,38500
A_42_Melli_004_v2,A_89_Scapto_002_v2,85.1163,38364
A_42_Melli_004_v2,A_90_Scapto_012_v2,85.1163,38364
A_42_Melli_004_v2,A_92_Scapto_002_v2,99.7247,38505
A_42_Melli_004_v2,A_92_Scapto_009_v2,85.1073,38314
A_42_Melli_004_v2,A_apinorum_strainFhon13,69.7966,38105
A_42_Melli_004_v2,A_jinshanensis_brasiliensis,69.8092,37273
A_42_Melli_004_v2,A_jinshanensis_strainHSLZ75,69.0553,38194
A_42_Melli_004_v2,A_jinshanensis_subsaerogenes,69.0396,38194
A_42_Melli_004_v2,A_kunkeei_DSM12361,70.2458,38156
A_42_Melli_004_v2,A_micheneri_strainHlig3,71.154,37981
A_42_Melli_004_v2,A_micheneri_strainNBRC113063,71.1286,38197
A_42_Melli_004_v2,A_ozensis_DSM23829,70.8781,38198
A_42_Melli_004_v2,A_quenuiae_strainHV6,70.9888,38137
A_42_Melli_004_v2,A_timberlakei_strainHV12,71.0748,38164
A_42_Melli_004_v2,F_florum_DSM22689,63.8547,38146
A_42_Melli_004_v2,F_fructivorans_strainDSM20203,67.8735,38227
A_42_Melli_004_v2,F_lindneri_strainDSM20690,66.2271,38140
A_42_Melli_004_v2,F_sanfranciscensis_DSM20451,65.613,38090
A_42_Melli_004_v2,L_Lactobacillus_spSy1,71.3608,38126
A_42_Melli_004_v2,L_senioris_DSM24302,67.6844,38155
A_42_Melli_004_v2,N_22_Melli_029_v2,71.6969,38116
A_42_Melli_004_v2,N_40_Melli_029_v2,71.115,37947
A_42_Melli_004_v2,N_41_Melli_001_v2,71.7039,38090
A_42_Melli_004_v2,N_45_Melli_016_v2,71.0687,38225
A_42_Melli_004_v2,N_45_Melli_020_v2,71.6844,38078
A_42_Melli_004_v2,N_46_Melli_022_v2,71.0713,38225
A_42_Melli_004_v2,N_47_Melli_001_v2,71.6939,38073
A_42_Melli_004_v2,N_barcode03,71.6549,38130
A_42_Melli_004_v2,N_barcode04,71.6439,38073
A_42_Melli_004_v2,N_barcode20,71.3415,37727
A_42_Melli_004_v2,Nicoliella_lavandulae_Es01,71.5716,38254
A_42_Melli_004_v2,Nicoliella_spurrieriana_SGEP1_A5,71.4718,38043
A_51_Scapto_004_v2,A_89_Scapto_001_v2,85.0879,38338
A_51_Scapto_004_v2,A_89_Scapto_002_v2,99.9766,38442
A_51_Scapto_004_v2,A_90_Scapto_012_v2,99.9792,38442
A_51_Scapto_004_v2,A_92_Scapto_002_v2,85.0976,38336
A_51_Scapto_004_v2,A_92_Scapto_009_v2,99.9661,38392
A_51_Scapto_004_v2,A_apinorum_strainFhon13,69.3667,38086
A_51_Scapto_004_v2,A_jinshanensis_brasiliensis,69.9705,37270
A_51_Scapto_004_v2,A_jinshanensis_strainHSLZ75,69.3134,38160
A_51_Scapto_004_v2,A_jinshanensis_subsaerogenes,69.2977,38160
A_51_Scapto_004_v2,A_kunkeei_DSM12361,69.7362,38128
A_51_Scapto_004_v2,A_micheneri_strainHlig3,70.8785,37941
A_51_Scapto_004_v2,A_micheneri_strainNBRC113063,70.8622,38160
A_51_Scapto_004_v2,A_ozensis_DSM23829,70.8343,38151
A_51_Scapto_004_v2,A_quenuiae_strainHV6,70.7919,38099
A_51_Scapto_004_v2,A_timberlakei_strainHV12,70.8677,38102
